# Plate File Name: F:\QuantStudio\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

[Target Call]
Well Position,Sample,Target,Cq
C6,Plate_2,RP,Undetermined
C7,Plate_1,N1,Undetermined
C7,Plate_1,N2,Undetermined
C7,Plate_1,RP,Undetermined
C8,Plate_2,N1,Undetermined
C8,Plate_2,N2,Undetermined
C8,Plate_2,RP,Undetermined
C9,Plate_1,N1,Undetermined
C9,Plate_1,N2,Undetermined
C9,Plate_1,RP,Undetermined
C10,Plate_2,N1,Undetermined
C10,Plate_2,N2,Undetermined
C10,Plate_2,RP,Undetermined
C11,Plate_1,N1,Undetermined
C11,Plate_1,N2,Undetermined
C11,Plate_1,RP,Undetermined
C12,Plate_2,N1,Undetermined
C12,Plate_2,N2,Undetermined
C12,Plate_2,RP,Undetermined
C13,Plate_1,N1,Undetermined
C13,Plate_1,N2,Undetermined
C13,Plate_1,RP,Undetermined
C14,Plate_2,N1,Undetermined
C14,Plate_2,N2,Undetermined
C14,Plate_2,RP,Undetermined
C15,Plate_1,N1,Undetermined
C15,Plate_1,N2,Undetermined
C15,Plate_1,RP,Undetermined
C16,Plate_2,N1,Undetermined
C16,Plate_2,N2,Undetermined
C16,Plate_2,RP,Undetermined
C17,Plate_1,N1,Undetermined
C17,Plate_1,N2,Undetermined
C17,Plate_1,RP,Undetermined
C18,Plate_2,N1,Undetermined
C18,Plate_2,N2,Undetermined
C18,Plate_2,RP,Undetermined
C19,Plate_1,N1,Undetermined
C19,Plate_1,N2,Undetermined
C19,Plate_1,RP,Undetermined
C20,Plate_2,N1,Undetermined
C20,Plate_2,N2,Undetermined
C20,Plate_2,RP,Undetermined
C21,Plate_1,N1,Undetermined
C21,Plate_1,N2,Undetermined
C21,Plate_1,RP,Undetermined
C22,Plate_2,N1,Undetermined
C22,Plate_2,N2,Undetermined
C22,Plate_2,RP,Undetermined
C23,Plate_1,N1,Undetermined
C23,Plate_1,N2,Undetermined
C23,Plate_1,RP,Undetermined
C24,Plate_2,N1,Undetermined
C24,Plate_2,N2,Undetermined
C24,Plate_2,RP,Undetermined
D1,NTC_3,N1,Undetermined
D1,NTC_3,N2,Undetermined
D1,NTC_3,RP,Undetermined
D2,NTC_4,N1,Undetermined
D2,NTC_4,N2,Undetermined
D2,NTC_4,RP,Undetermined
D3,Plate_3,N1,Undetermined
D3,Plate_3,N2,Undetermined
D3,Plate_3,RP,Undetermined
D4,Plate_4,N1,Undetermined
D4,Plate_4,N2,Undetermined
D4,Plate_4,RP,Undetermined
D5,Plate_3,N1,Undetermined
D5,Plate_3,N2,Undetermined
D5,Plate_3,RP,Undetermined
D6,Plate_4,N1,Undetermined
D6,Plate_4,N2,Undetermined
D6,Plate_4,RP,Undetermined
D7,Plate_3,N1,Undetermined
D7,Plate_3,N2,Undetermined
D7,Plate_3,RP,Undetermined
D8,Plate_4,N1,Undetermined
D8,Plate_4,N2,Undetermined
D8,Plate_4,RP,Undetermined
D9,Plate_3,N1,Undetermined
D9,Plate_3,N2,Undetermined
D9,Plate_3,RP,Undetermined
D10,Plate_4,N1,Undetermined
D10,Plate_4,N2,Undetermined
D10,Plate_4,RP,Undetermined
D11,Plate_3,N1,Undetermined
D11,Plate_3,N2,Undetermined
D11,Plate_3,RP,Undetermined
D12,Plate_4,N1,Undetermined
D12,Plate_4,N2,Undetermined
D12,Plate_4,RP,Undetermined
D13,Plate_3,N1,Undetermined
D13,Plate_3,N2,Undetermined
D13,Plate_3,RP,Undetermined
D14,Plate_4,N1,Undetermined
D14,Plate_4,N2,Undetermined
D14,Plate_4,RP,Undetermined
D15,Plate_3,N1,Undetermined
D15,Plate_3,N2,Undetermined
D15,Plate_3,RP,Undetermined
D16,Plate_4,N1,Undetermined
D16,Plate_4,N2,Undetermined
D16,Plate_4,RP,Undetermined
D17,Plate_3,N1,Undetermined
D17,Plate_3,N2,Undetermined
D17,Plate_3,RP,Undetermined
D18,Plate_4,N1,Undetermined
D18,Plate_4,N2,Undetermined
D18,Plate_4,RP,Undetermined
D19,Plate_3,N1,Undetermined
D19,Plate_3,N2,Undetermined
D19,Plate_3,RP,Undetermined
D20,Plate_4,N1,Undetermined
D20,Plate_4,N2,Undetermined
D20,Plate_4,RP,Undetermined
D21,Plate_3,N1,Undetermined
D21,Plate_3,N2,Undetermined
D21,Plate_3,RP,Undetermined
D22,Plate_4,N1,Undetermined
D22,Plate_4,N2,Undetermined
D22,Plate_4,RP,Undetermined
D23,Plate_3,N1,Undetermined
D23,Plate_3,N2,Undetermined
D23,Plate_3,RP,Undetermined
D24,Plate_4,N1,Undetermined
D24,Plate_4,N2,Undetermined
