# Plate File Name: G:\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

"[Target Call]"
"Well Position","Target","Cq"
"L9","N2","Undetermined"
"L9","RP","Undetermined"
"L10","N1","Undetermined"
"L10","N2","Undetermined"
"L10","RP","Undetermined"
"L11","N1","Undetermined"
"L11","N2","Undetermined"
"L11","RP","Undetermined"
"L12","N1","Undetermined"
"L12","N2","Undetermined"
"L12","RP","Undetermined"
"L13","N1","Undetermined"
"L13","N2","Undetermined"
"L13","RP","Undetermined"
"L14","N1","Undetermined"
"L14","N2","Undetermined"
"L14","RP","Undetermined"
"L15","N1","Undetermined"
"L15","N2","Undetermined"
"L15","RP","Undetermined"
"L16","N1","Undetermined"
"L16","N2","Undetermined"
"L16","RP","Undetermined"
"L17","N1","Undetermined"
"L17","N2","Undetermined"
"L17","RP","Undetermined"
"L18","N1","Undetermined"
"L18","N2","Undetermined"
"L18","RP","Undetermined"
"L19","N1","Undetermined"
"L19","N2","Undetermined"
"L19","RP","Undetermined"
"L20","N1","Undetermined"
"L20","N2","Undetermined"
"L20","RP","Undetermined"
"L21","N1","Undetermined"
"L21","N2","Undetermined"
"L21","RP","Undetermined"
"L22","N1","Undetermined"
"L22","N2","Undetermined"
"L22","RP","Undetermined"
"L23","N1","Undetermined"
"L23","N2","Undetermined"
"L23","RP","Undetermined"
"L24","N1","Undetermined"
"L24","N2","Undetermined"
"L24","RP","Undetermined"
"M1","N1","Undetermined"
"M1","N2","Undetermined"
"M1","RP","33.42639756388988"
"M2","N1","Undetermined"
"M2","N2","Undetermined"
"M2","RP","Undetermined"
"M3","N1","Undetermined"
"M3","N2","Undetermined"
"M3","RP","Undetermined"
"M4","N1","Undetermined"
"M4","N2","Undetermined"
"M4","RP","Undetermined"
"M5","N1","Undetermined"
"M5","N2","Undetermined"
"M5","RP","Undetermined"
"M6","N1","Undetermined"
"M6","N2","Undetermined"
"M6","RP","Undetermined"
"M7","N1","Undetermined"
"M7","N2","Undetermined"
"M7","RP","Undetermined"
"M8","N1","Undetermined"
"M8","N2","Undetermined"
"M8","RP","Undetermined"
"M9","N1","Undetermined"
"M9","N2","Undetermined"
"M9","RP","Undetermined"
"M10","N1","Undetermined"
"M10","N2","Undetermined"
"M10","RP","Undetermined"
"M11","N1","Undetermined"
"M11","N2","Undetermined"
"M11","RP","Undetermined"
"M12","N1","Undetermined"
"M12","N2","Undetermined"
"M12","RP","Undetermined"
"M13","N1","Undetermined"
"M13","N2","Undetermined"
"M13","RP","Undetermined"
"M14","N1","Undetermined"
"M14","N2","Undetermined"
"M14","RP","Undetermined"
"M15","N1","Undetermined"
"M15","N2","Undetermined"
"M15","RP","Undetermined"
"M16","N1","Undetermined"
"M16","N2","Undetermined"
"M16","RP","Undetermined"
"M17","N1","Undetermined"
"M17","N2","Undetermined"
"M17","RP","Undetermined"
"M18","N1","Undetermined"
"M18","N2","Undetermined"
"M18","RP","Undetermined"
"M19","N1","Undetermined"
"M19","N2","Undetermined"
"M19","RP","Undetermined"
"M20","N1","Undetermined"
"M20","N2","Undetermined"
"M20","RP","Undetermined"
"M21","N1","Undetermined"
"M21","N2","Undetermined"
"M21","RP","Undetermined"
"M22","N1","Undetermined"
"M22","N2","Undetermined"
"M22","RP","Undetermined"
"M23","N1","Undetermined"
"M23","N2","Undetermined"
"M23","RP","Undetermined"
"M24","N1","Undetermined"
"M24","N2","Undetermined"
"M24","RP","Undetermined"
"N1","N1","Undetermined"
"N1","N2","Undetermined"
"N1","RP","Undetermined"
"N2","N1","Undetermined"
"N2","N2","Undetermined"
"N2","RP","Undetermined"
"N3","N1","Undetermined"
"N3","N2","Undetermined"
"N3","RP","Undetermined"
"N4","N1","Undetermined"
"N4","N2","Undetermined"
"N4","RP","Undetermined"
"N5","N1","Undetermined"
"N5","N2","Undetermined"
"N5","RP","Undetermined"
"N6","N1","Undetermined"
"N6","N2","Undetermined"
"N6","RP","Undetermined"
"N7","N1","Undetermined"
"N7","N2","Undetermined"
"N7","RP","Undetermined"
"N8","N1","Undetermined"
"N8","N2","Undetermined"
"N8","RP","Undetermined"
"N9","N1","Undetermined"
"N9","N2","Undetermined"
"N9","RP","Undetermined"
"N10","N1","Undetermined"
"N10","N2","Undetermined"
"N10","RP","Undetermined"
"N11","N1","Undetermined"
"N11","N2","Undetermined"
"N11","RP","Undetermined"
"N12","N1","Undetermined"
"N12","N2","Undetermined"
"N12","RP","Undetermined"
"N13","N1","Undetermined"
"N13","N2","Undetermined"
"N13","RP","Undetermined"
"N14","N1","Undetermined"
"N14","N2","Undetermined"
"N14","RP","Undetermined"
"N15","N1","Undetermined"
"N15","N2","Undetermined"
"N15","RP","Undetermined"
"N16","N1","Undetermined"
"N16","N2","Undetermined"
"N16","RP","Undetermined"
"N17","N1","Undetermined"
"N17","N2","Undetermined"
"N17","RP","Undetermined"
"N18","N1","Undetermined"
"N18","N2","Undetermined"
"N18","RP","Undetermined"
"N19","N1","Undetermined"
"N19","N2","Undetermined"
"N19","RP","Undetermined"
"N20","N1","Undetermined"
"N20","N2","Undetermined"
"N20","RP","Undetermined"
"N21","N1","Undetermined"
"N21","N2","Undetermined"
"N21","RP","Undetermined"
"N22","N1","Undetermined"
"N22","N2","Undetermined"
"N22","RP","Undetermined"
"N23","N1","Undetermined"
"N23","N2","Undetermined"
"N23","RP","Undetermined"
"N24","N1","Undetermined"
"N24","N2","Undetermined"
"N24","RP","Undetermined"
"O1","N1","37.531568688726836"
"O1","N2","38.101520845015884"
"O1","RP","33.003276601736346"
"O2","N1","Undetermined"
"O2","N2","Undetermined"
"O2","RP","Undetermined"
"O3","N1","Undetermined"
"O3","N2","Undetermined"
"O3","RP","Undetermined"
"O4","N1","Undetermined"
"O4","N2","Undetermined"
"O4","RP","Undetermined"
"O5","N1","Undetermined"
"O5","N2","Undetermined"
"O5","RP","Undetermined"
"O6","N1","Undetermined"
"O6","N2","Undetermined"
"O6","RP","Undetermined"
"O7","N1","Undetermined"
"O7","N2","Undetermined"
"O7","RP","Undetermined"
"O8","N1","Undetermined"
"O8","N2","Undetermined"
"O8","RP","Undetermined"
"O9","N1","Undetermined"
"O9","N2","Undetermined"
"O9","RP","Undetermined"
"O10","N1","Undetermined"
"O10","N2","Undetermined"
"O10","RP","Undetermined"
"O11","N1","Undetermined"
"O11","N2","Undetermined"
"O11","RP","Undetermined"
"O12","N1","Undetermined"
"O12","N2","Undetermined"
"O12","RP","Undetermined"
"O13","N1","Undetermined"
"O13","N2","Undetermined"
"O13","RP","Undetermined"
"O14","N1","Undetermined"
"O14","N2","Undetermined"
"O14","RP","Undetermined"
"O15","N1","Undetermined"
"O15","N2","Undetermined"
"O15","RP","Undetermined"
"O16","N1","Undetermined"
"O16","N2","Undetermined"
"O16","RP","Undetermined"
"O17","N1","Undetermined"
"O17","N2","Undetermined"
"O17","RP","Undetermined"
"O18","N1","Undetermined"
"O18","N2","Undetermined"
"O18","RP","Undetermined"
"O19","N1","Undetermined"
"O19","N2","Undetermined"
"O19","RP","Undetermined"
"O20","N1","Undetermined"
"O20","N2","Undetermined"
"O20","RP","Undetermined"
"O21","N1","Undetermined"
"O21","N2","Undetermined"
"O21","RP","Undetermined"
"O22","N1","Undetermined"
"O22","N2","Undetermined"
"O22","RP","Undetermined"
"O23","N1","Undetermined"
"O23","N2","Undetermined"
"O23","RP","Undetermined"
"O24","N1","Undetermined"
"O24","N2","Undetermined"
"O24","RP","Undetermined"
"P1","N1","Undetermined"
"P1","N2","Undetermined"
"P1","RP","Undetermined"
"P2","N1","Undetermined"
"P2","N2","Undetermined"
"P2","RP","Undetermined"
"P3","N1","Undetermined"
"P3","N2","Undetermined"
"P3","RP","Undetermined"
"P4","N1","Undetermined"
"P4","N2","Undetermined"
"P4","RP","Undetermined"
"P5","N1","Undetermined"
"P5","N2","Undetermined"
"P5","RP","Undetermined"
"P6","N1","Undetermined"
"P6","N2","Undetermined"
"P6","RP","Undetermined"
"P7","N1","Undetermined"
"P7","N2","Undetermined"
"P7","RP","Undetermined"
"P8","N1","Undetermined"
"P8","N2","Undetermined"
"P8","RP","Undetermined"
"P9","N1","Undetermined"
"P9","N2","Undetermined"
"P9","RP","Undetermined"
"P10","N1","Undetermined"
"P10","N2","Undetermined"
"P10","RP","Undetermined"
"P11","N1","Undetermined"
"P11","N2","Undetermined"
"P11","RP","Undetermined"
"P12","N1","Undetermined"
"P12","N2","Undetermined"
"P12","RP","Undetermined"
"P13","N1","Undetermined"
"P13","N2","Undetermined"
"P13","RP","Undetermined"
"P14","N1","Undetermined"
"P14","N2","Undetermined"
"P14","RP","Undetermined"
"P15","N1","Undetermined"
"P15","N2","Undetermined"
"P15","RP","Undetermined"
"P16","N1","Undetermined"
"P16","N2","Undetermined"
"P16","RP","Undetermined"
"P17","N1","Undetermined"
"P17","N2","Undetermined"
"P17","RP","Undetermined"
"P18","N1","Undetermined"
"P18","N2","Undetermined"
"P18","RP","Undetermined"
"P19","N1","Undetermined"
"P19","N2","Undetermined"
"P19","RP","Undetermined"
"P20","N1","Undetermined"
"P20","N2","Undetermined"
"P20","RP","Undetermined"
"P21","N1","Undetermined"
"P21","N2","Undetermined"
"P21","RP","Undetermined"
"P22","N1","Undetermined"
"P22","N2","Undetermined"
"P22","RP","Undetermined"
"P23","N1","Undetermined"
"P23","N2","Undetermined"
"P23","RP","Undetermined"
"P24","N1","Undetermined"
"P24","N2","Undetermined"
"P24","RP","Undetermined"
