# Plate File Name: G:\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

"[Target Call]"
"Well Position","Target","Cq"
"C21","N2","Undetermined"
"C21","RP","Undetermined"
"C22","N1","Undetermined"
"C22","N2","Undetermined"
"C22","RP","Undetermined"
"C23","N1","Undetermined"
"C23","N2","Undetermined"
"C23","RP","Undetermined"
"C24","N1","Undetermined"
"C24","N2","Undetermined"
"C24","RP","Undetermined"
"D1","N1","Undetermined"
"D1","N2","Undetermined"
"D1","RP","Undetermined"
"D2","N1","Undetermined"
"D2","N2","Undetermined"
"D2","RP","Undetermined"
"D3","N1","Undetermined"
"D3","N2","Undetermined"
"D3","RP","Undetermined"
"D4","N1","Undetermined"
"D4","N2","Undetermined"
"D4","RP","Undetermined"
"D5","N1","Undetermined"
"D5","N2","Undetermined"
"D5","RP","Undetermined"
"D6","N1","Undetermined"
"D6","N2","Undetermined"
"D6","RP","Undetermined"
"D7","N1","Undetermined"
"D7","N2","Undetermined"
"D7","RP","Undetermined"
"D8","N1","Undetermined"
"D8","N2","Undetermined"
"D8","RP","Undetermined"
"D9","N1","Undetermined"
"D9","N2","Undetermined"
"D9","RP","Undetermined"
"D10","N1","Undetermined"
"D10","N2","Undetermined"
"D10","RP","Undetermined"
"D11","N1","Undetermined"
"D11","N2","Undetermined"
"D11","RP","Undetermined"
"D12","N1","Undetermined"
"D12","N2","Undetermined"
"D12","RP","Undetermined"
"D13","N1","Undetermined"
"D13","N2","Undetermined"
"D13","RP","Undetermined"
"D14","N1","Undetermined"
"D14","N2","Undetermined"
"D14","RP","Undetermined"
"D15","N1","Undetermined"
"D15","N2","Undetermined"
"D15","RP","Undetermined"
"D16","N1","Undetermined"
"D16","N2","Undetermined"
"D16","RP","Undetermined"
"D17","N1","Undetermined"
"D17","N2","Undetermined"
"D17","RP","Undetermined"
"D18","N1","Undetermined"
"D18","N2","Undetermined"
"D18","RP","Undetermined"
"D19","N1","Undetermined"
"D19","N2","Undetermined"
"D19","RP","Undetermined"
"D20","N1","Undetermined"
"D20","N2","Undetermined"
"D20","RP","Undetermined"
"D21","N1","Undetermined"
"D21","N2","Undetermined"
"D21","RP","Undetermined"
"D22","N1","Undetermined"
"D22","N2","Undetermined"
"D22","RP","Undetermined"
"D23","N1","Undetermined"
"D23","N2","Undetermined"
"D23","RP","Undetermined"
"D24","N1","Undetermined"
"D24","N2","Undetermined"
"D24","RP","Undetermined"
"E1","N1","Undetermined"
"E1","N2","Undetermined"
"E1","RP","Undetermined"
"E2","N1","Undetermined"
"E2","N2","Undetermined"
"E2","RP","Undetermined"
